,Unnamed: 0,product_name_fk,retail_price,discounted_price,product_name_az,retail_price.1,discounted_price.1,Similarity
100,100,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084,468,100
101,101,Catwalk Boots,2095.0,999.0,Catwalk Boots,2086,1283,100
102,102,Magnum Footwear Lifestyle,3999.0,2099.0,Magnum Footwear Lifestyle,3982,2586,100
103,103,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990,469,100
104,104,Rialto Boots,3295.0,2795.0,Rialto Boots,3275,3331,100
105,105,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2481,1583,100
106,106,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5476,5916,100
107,107,La Briza Ashley Boots,2299.0,2299.0,La Briza Ashley Boots,2296,2840,100
108,108,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107737,137323,100
109,109,Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,Salt N Pepper 13-019 Femme Black Boots Boots,4176,3857,100
110,110,Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1497,1651,100
111,111,Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,Wrangler Skanders Fit Men's Jeans,2785,2254,100
112,112,Steppings Trendy Boots,3199.0,1919.0,Steppings Trendy Boots,3191,2295,100
113,113,Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,Salt N Pepper 14-664 Denny Black Boots Boots,4283,3869,100
114,114,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189,513,100
115,115,Crocs Boots,3995.0,3995.0,Crocs Boots,3977,4845,100
116,116,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571223,726879,100
117,117,Lyc White Casual Boots,1199.0,899.0,Lyc White Casual Boots,1195,1025,100
118,118,Myra Comfortable Boots,1049.0,499.0,Myra Comfortable Boots,1038,573,100
119,119,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991,896,100
120,120,Get Glamr Designer Uggy Boots,3499.0,2799.0,Get Glamr Designer Uggy Boots,3487,3180,100
121,121,Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2295,1019,100
122,122,Kielz Ladies Boots,1999.0,999.0,Kielz Ladies Boots,1996,1187,100
123,123,Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,Rochees RW50 Analog Watch  - For Boys,1110,1225,100
124,124,Kielz Ladies Boots,2799.0,1299.0,Kielz Ladies Boots,2780,1529,100
125,125,Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,Salt N Pepper 13-516 Greta Red Boots,3475,3380,100
126,126,Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682,1026,100
127,127,Steppings Trendy Boots,1599.0,639.0,Steppings Trendy Boots,1587,825,100
128,128,Rialto Boots,3295.0,2395.0,Rialto Boots,3292,2738,100
129,129,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085,472,100
130,130,Wrangler Regular Fit Men's Jeans,3295.0,1812.0,Wrangler Regular Fit Men's Jeans,3279,2305,100
131,131,Steppings Trendy Boots,3499.0,2274.0,Steppings Trendy Boots,3492,2874,100
132,132,"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,"Disney DW100230 Digital Watch  - For Boys, Girls",342,386,100
133,133,Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,Salt N Pepper 13-167 Marsha Red Boots,3692,3441,100
134,134,"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,"Cartier W6701005 Analog Watch  - For Boys, Men",200990,246928,100
135,135,Bruno Manetti Cannelita Boots,3399.0,1359.0,Bruno Manetti Cannelita Boots,3394,1564,100
136,136,Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,Stylistry Maxis Shde6603brwoboot3104 Boots,2185,1785,100
137,137,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181,444,100
138,138,"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,"Felix Y 39 Analog Watch  - For Boys, Men",1536,602,100
139,139,Kielz Boots,2999.0,2399.0,Kielz Boots,2987,2706,100
140,140,Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2295,1116,100
141,141,Sakay Country Leather Boots,3999.0,3499.0,Sakay Country Leather Boots,3980,3877,100
142,142,La Briza Black Boots,2299.0,2069.0,La Briza Black Boots,2282,2385,100
143,143,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",362,324,100
144,144,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1180,1229,100
145,145,Steppings Trendy Boots,2199.0,1099.0,Steppings Trendy Boots,2198,1415,100
146,146,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466,368,100
147,147,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1083,739,100
148,148,Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0,Vencer Stella 7lyt1011 Digital Watch  - For Boys,381,178,100
149,149,La Briza Mile Boots,3999.0,3999.0,La Briza Mile Boots,3998,4701,100
150,150,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3979,1064,100
151,151,Sneha Unique Boots,1799.0,899.0,Sneha Unique Boots,1794,1026,100
152,152,Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0,Timer TC_-_690143 Analog Watch  - For Boys,1287,707,100
153,153,NE Regular Fit Men's Jeans,4999.0,1899.0,NE Regular Fit Men's Jeans,4988,2180,100
154,154,Shuz Touch Boots,2995.0,2995.0,Shuz Touch Boots,2989,3434,100
155,155,Kielz Ladies Boots,2499.0,1149.0,Kielz Ladies Boots,2492,1393,100
156,156,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4991,1287,100
157,157,Kielz Ladies Boots,2299.0,899.0,Kielz Ladies Boots,2287,1067,100
158,158,Belle Gambe Boots,3999.0,1695.0,Belle Gambe Boots,3988,2169,100
159,159,"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,"Titan 1639SL03 Analog Watch  - For Boys, Men",1783,2169,100
160,160,Selfie Boots,1200.0,599.0,Selfie Boots,1191,773,100
161,161,Clincher Semonday Boots,3499.0,3499.0,Clincher Semonday Boots,3497,4157,100
162,162,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790,233,100
163,163,Kielz Ladies Boots,2499.0,1149.0,Kielz Ladies Boots,2485,1446,100
164,164,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",573,620,100
165,165,Belle Gambe Boots,3499.0,1765.0,Belle Gambe Boots,3495,2123,100
166,166,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1919,2269,100
167,167,Roxy Boots,19995.0,9997.0,Roxy Boots,19979,12156,100
168,168,Lee Men's Jeans,2699.0,1619.0,Lee Men's Jeans,2681,2089,100
169,169,Bruno Manetti 676 Boots,2999.0,1199.0,Bruno Manetti 676 Boots,2979,1482,100
170,170,"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,"Estilo 1056 Analog Watch  - For Boys, Men",1295,371,100
171,171,Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,Jack klein BlackLed Digital Watch  - For Boys,994,187,100
172,172,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220,176,100
173,173,Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1484,1448,100
174,174,Foot Candy Boots,2899.0,1699.0,Foot Candy Boots,2887,2095,100
175,175,Credos Boots,4499.0,3499.0,Credos Boots,4496,4097,100
176,176,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996,164,100
177,177,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2489,2146,100
178,178,Kielz Ladies Boots,2799.0,1299.0,Kielz Ladies Boots,2792,1535,100
179,179,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378,392,100
180,180,Anand Archies Boots,499.0,499.0,Anand Archies Boots,492,575,100
181,181,Magnum Footwear Lifestyle Boots,2999.0,1899.0,Magnum Footwear Lifestyle Boots,2992,2185,100
182,182,Steppings Trendy Boots,2199.0,1099.0,Steppings Trendy Boots,2185,1390,100
183,183,Swag 670038 Analog Watch  - For Boys,2499.0,899.0,Swag 670038 Analog Watch  - For Boys,2480,1126,100
184,184,Bonzer Boots,999.0,499.0,Bonzer Boots,987,582,100
185,185,Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,Roadster Skinny Fit Fit Men's Jeans,2495,1414,100
186,186,Selfie Black Denim Boots,1000.0,499.0,Selfie Black Denim Boots,990,638,100
187,187,Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3193,2835,100
188,188,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",626,822,100
189,189,Belle Gambe Winter Boots,3499.0,1695.0,Belle Gambe Winter Boots,3498,1943,100
190,190,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398,180,100
191,191,Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2485,1518,100
192,192,Kielz Boots,2499.0,1999.0,Kielz Boots,2496,2566,100
193,193,"Franck Bella FB74C Analog Watch  - For Boys, Men",1299.0,780.0,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295,931,100
194,194,Carlton London Boots,2295.0,2295.0,Carlton London Boots,2279,2871,100
195,195,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,331,298,100
196,196,Shuz Touch Boots,4495.0,4495.0,Shuz Touch Boots,4485,5839,100
197,197,La Briza Andria Boots,2099.0,2099.0,La Briza Andria Boots,2085,2641,100
198,198,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345.0,1179.0,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343,1456,100
199,199,Kielz Ladies Boots,1899.0,999.0,Kielz Ladies Boots,1883,1236,100
200,200,Carlton London Boots,1995.0,1995.0,Carlton London Boots,1988,2334,100
201,201,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784,1327,100
202,202,Urban Country Ladies Boots,3299.0,1650.0,Urban Country Ladies Boots,3296,2015,100
203,203,Now SP-ETHNIC Analog Watch  - For Boys,600.0,600.0,Now SP-ETHNIC Analog Watch  - For Boys,586,767,100
204,204,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350.0,1350.0,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1344,1597,100
205,205,Get Glamr Designer Yuvu Boots,3499.0,2799.0,Get Glamr Designer Yuvu Boots,3483,3565,100
206,206,Kielz Boots,2499.0,2399.0,Kielz Boots,2481,3094,100
207,207,Belle Gambe Boots,3999.0,1765.0,Belle Gambe Boots,3985,1979,100
208,208,Remson India Boots,3999.0,1999.0,Remson India Boots,3993,2458,100
209,209,Steppings Trendy Boots,1599.0,639.0,Steppings Trendy Boots,1592,734,100
210,210,Jacques Farel KWD2324 Analog Watch  - For Boys,2850.0,1567.0,Jacques Farel KWD2324 Analog Watch  - For Boys,2838,1748,100
211,211,Rialto Boots,2795.0,1800.0,Rialto Boots,2786,2165,100
212,212,Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0,Salt N Pepper 13-455 Pisa Black Boots,4993,4661,100
213,213,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999.0,299.0,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988,354,100
214,214,Klaur Melbourne Boots,3499.0,1574.0,Klaur Melbourne Boots,3480,1868,100
215,215,"Positif Pfbk612 Analog Watch  - For Men, Boys",1100.0,800.0,"Positif Pfbk612 Analog Watch  - For Men, Boys",1086,978,100
